Date,Index
1995-11,97.4
1995-12,97.4
1996-01,97.3
1996-02,97.1
1996-03,97.3
1996-04,97.9
1996-05,98.1
1996-06,97.8
1996-07,97.7
1996-08,97.6
1996-09,98.0
1996-10,98.2
1996-11,97.9
1996-12,98.0
1997-01,97.9
1997-02,97.7
1997-03,97.8
1997-04,99.8
1997-05,100.0
1997-06,100.0
1997-07,99.6
1997-08,99.7
1997-09,100.4
1997-10,100.7
1997-11,100.0
1997-12,99.8
1998-01,99.7
1998-02,99.6
1998-03,100.0
1998-04,100.2
1998-05,100.5
1998-06,100.1
1998-07,99.5
1998-08,99.4
1998-09,100.2
1998-10,100.9
1998-11,100.8
1998-12,100.4
1999-01,99.9
1999-02,99.5
1999-03,99.6
1999-04,100.1
1999-05,100.1
1999-06,99.8
1999-07,99.4
1999-08,99.7
1999-09,100.0
1999-10,100.2
1999-11,99.6
1999-12,99.3
2000-01,99.2
2000-02,98.9
2000-03,99.1
2000-04,99.3
2000-05,99.4
2000-06,99.2
2000-07,98.9
2000-08,99.2
2000-09,99.1
2000-10,99.1
2000-11,98.8
2000-12,98.9
2001-01,98.9
2001-02,98.6
2001-03,98.4
2001-04,98.6
2001-05,98.7
2001-06,98.4
2001-07,98.1
2001-08,98.5
2001-09,98.3
2001-10,98.3
2001-11,97.8
2001-12,97.7
2002-01,97.5
2002-02,97.0
2002-03,97.2
2002-04,97.5
2002-05,97.8
2002-06,97.7
2002-07,97.3
2002-08,97.6
2002-09,97.6
2002-10,97.4
2002-11,97.4
2002-12,97.4
2003-01,97.1
2003-02,96.8
2003-03,97.1
2003-04,97.4
2003-05,97.6
2003-06,97.3
2003-07,97.1
2003-08,97.3
2003-09,97.4
2003-10,97.4
2003-11,96.9
2003-12,97.0
2004-01,96.8
2004-02,96.8
2004-03,97.0
2004-04,97.0
2004-05,97.1
2004-06,97.3
2004-07,97.0
2004-08,97.1
2004-09,97.4
2004-10,97.9
2004-11,97.7
2004-12,97.2
2005-01,97.0
2005-02,96.7
2005-03,97.0
2005-04,97.1
2005-05,97.2
2005-06,96.8
2005-07,96.7
2005-08,96.8
2005-09,97.1
2005-10,97.1
2005-11,96.7
2005-12,96.8
2006-01,96.9
2006-02,96.6
2006-03,96.8
2006-04,97.0
2006-05,97.3
2006-06,97.3
2006-07,97.0
2006-08,97.7
2006-09,97.7
2006-10,97.5
2006-11,97.0
2006-12,97.1
2007-01,96.9
2007-02,96.4
2007-03,96.7
2007-04,97.0
2007-05,97.3
2007-06,97.1
2007-07,97.0
2007-08,97.5
2007-09,97.5
2007-10,97.8
2007-11,97.6
2007-12,97.8
2008-01,97.6
2008-02,97.4
2008-03,97.9
2008-04,97.8
2008-05,98.6
2008-06,99.0
2008-07,99.2
2008-08,99.5
2008-09,99.5
2008-10,99.4
2008-11,98.6
2008-12,98.2
2009-01,97.6
2009-02,97.3
2009-03,97.6
2009-04,97.7
2009-05,97.5
2009-06,97.3
2009-07,97.0
2009-08,97.3
2009-09,97.3
2009-10,96.9
2009-11,96.7
2009-12,96.5
2010-01,96.6
2010-02,96.6
2010-03,96.8
2010-04,96.9
2010-05,96.8
2010-06,96.6
2010-07,96.1
2010-08,96.2
2010-09,96.4
2010-10,96.7
2010-11,96.4
2010-12,96.2
2011-01,96.1
2011-02,96.1
2011-03,96.3
2011-04,96.5
2011-05,96.4
2011-06,96.3
2011-07,96.3
2011-08,96.4
2011-09,96.4
2011-10,96.5
2011-11,95.9
2011-12,96.0
2012-01,96.2
2012-02,96.4
2012-03,96.8
2012-04,96.9
2012-05,96.6
2012-06,96.1
2012-07,95.8
2012-08,96.0
2012-09,96.1
2012-10,96.1
2012-11,95.8
2012-12,95.8
2013-01,95.9
2013-02,95.7
2013-03,95.9
2013-04,96.2
2013-05,96.3
2013-06,96.3
2013-07,96.5
2013-08,96.8
2013-09,97.1
2013-10,97.2
2013-11,97.3
2013-12,97.4
2014-01,97.2
2014-02,97.2
2014-03,97.5
2014-04,99.5
2014-05,99.9
2014-06,99.8
2014-07,99.9
2014-08,100.0
2014-09,100.3
2014-10,100.0
2014-11,99.6
